date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2026-03-26, 15:15:46	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:15:48	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:15:50	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:15:52	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:15:54	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:15:56	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:15:58	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:16:00	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:16:02	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:16:04	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:16:06	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:16:08	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:16:10	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:16:12	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:16:14	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:16:16	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:16:18	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:16:20	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:16:22	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:16:24	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:16:26	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:16:28	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:16:30	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:16:32	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:16:34	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:16:36	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:16:38	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:16:40	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:16:42	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:16:44	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:16:46	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:16:48	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:16:50	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:16:52	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:16:54	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:16:56	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:16:58	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:17:00	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:17:02	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:17:04	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:17:06	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:17:08	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:17:10	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:17:12	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:17:14	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:17:16	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:17:18	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:17:20	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:17:22	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:17:24	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:17:26	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:17:28	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:17:30	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:17:32	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:17:34	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:17:36	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:17:38	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:17:40	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:17:42	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:17:44	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:17:46	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:17:48	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:17:50	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:17:52	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:17:54	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:17:56	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:17:58	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:18:00	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:18:02	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:18:04	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:18:06	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:18:08	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:18:10	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:18:12	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:18:14	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:18:16	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:18:18	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:18:20	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:18:22	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:18:24	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:18:26	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:18:28	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:18:30	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:18:32	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:18:34	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:18:36	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:18:38	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:18:40	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:18:42	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:18:44	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:18:46	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:18:48	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:18:50	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:18:52	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:18:54	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:18:56	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:18:58	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:19:00	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:19:02	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:19:04	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:19:06	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:19:08	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:19:10	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:19:12	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:19:14	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:19:16	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:19:18	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:19:20	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:19:22	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:19:24	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:19:26	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:19:28	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:19:30	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:19:32	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:19:34	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:19:36	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:19:38	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:19:40	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:19:42	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:19:44	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:19:46	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:19:48	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:19:50	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:19:52	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:19:54	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:19:56	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:19:58	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:20:00	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:20:02	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:20:04	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:20:06	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:20:08	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:20:10	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:20:12	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:20:14	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:20:16	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:20:18	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:20:20	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:20:22	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:20:24	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:20:26	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:20:28	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:20:30	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:20:32	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:20:34	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:20:36	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:20:38	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:20:40	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:20:42	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:20:44	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:20:46	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:20:48	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:20:50	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:20:52	0 Hz	0 W	4,5E0 mbar	1,1E1 mbar
2026-03-26, 15:20:54	0 Hz	0 W	1E3 mbar	4,6E2 mbar
2026-03-26, 15:20:56	0 Hz	0 W	1E3 mbar	7E2 mbar
2026-03-26, 15:20:58	0 Hz	0 W	1E3 mbar	4,6E2 mbar
2026-03-26, 15:21:00	0 Hz	0 W	1E3 mbar	3,6E2 mbar
2026-03-26, 15:21:02	0 Hz	0 W	1E3 mbar	3,2E2 mbar
2026-03-26, 15:21:04	0 Hz	0 W	1E3 mbar	3E2 mbar
2026-03-26, 15:21:06	0 Hz	0 W	1E3 mbar	2,8E2 mbar
2026-03-26, 15:21:08	0 Hz	0 W	1E3 mbar	2,6E2 mbar
2026-03-26, 15:21:10	0 Hz	0 W	1E3 mbar	2,5E2 mbar
